 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO56844,XCIEN,FEBRERO,12/2/2026,13/2/2026,SI,CECILIA NUÑEZ,IRIS RAMÍREZ,IRIS RAMÍREZ,ABRAHAM OSVALDO RIOS CASTILLO,"Sandur, SIP-30x15, ABRAHAM OSVALDO RIOS CASTILLO., SITIO DANIEL FUENTES","[SO56844] Sandur, SIP-30x15, ABRAHAM OSVALDO RIOS CASTILLO.",550,,550,SÍ,SÍ,NO,PYME,PROFESIONAL,30,ON,Juárez Blancas,24,EMPRESARIAL,EAC,UPSALE,SÍ,"13,200.00",SÍ,2679956,,PAGADA,13/3/2026,
SO56889,XCIEN,FEBRERO,12/2/2026,,,SERGIO ABREGO,LEONARDO RODRÍGUEZ,,PETRO SAV LINCOLN,"Sandur, SIDP-20, PETRO SAV LINCOLN, SITIO: ESTACION BUENA VISTA // MIGRACION RB BUENA VISTA",,,0,0,SÍ,SÍ,NO,DEDICADO,DEDICADO,20,ON,El Carmen,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,,,Migración de servicio de RB Buena Vista por temas aministrativos
SO56890,XCIEN,FEBRERO,12/2/2026,,,SERGIO ABREGO,LEONARDO RODRÍGUEZ,,PETRO SAV LINCOLN,"Sandur, SIDP-20, PETRO SAV LINCOLN, SITIO: ESTACION BUENA VISTA Redundancia //MIGRACION RB BUENA VISTA",,,0,0,SÍ,SÍ,NO,DEDICADO,DEDICADO,20,ON,El Carmen,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,,,Migración de servicio de RB Buena Vista por temas aministrativos
SO56886,XCIEN,FEBRERO,12/2/2026,,,SERGIO ABREGO,LEONARDO RODRÍGUEZ,,ZAGA REPARACIONES Y REMOLQUES,"Sandur, SIDP-20, ZAGA REPARACIONES Y REMOLQUES, SITIO: MAGNUS ESCOBEDO // MIGRACION RB BUENA VISTA",,,0,0,SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Mitras,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,,,Migración de servicio de RB Buena Vista por temas aministrativos
SO56669,XCIEN,FEBRERO,12/2/2026,19/2/2026,SI,SERGIO ABREGO,JUAN ESCAMILLA,,EVENTOS AKTUM,"Sandur, SIEV-20-1, EVENTOS AKTUM, Sitio:Mercedes","[SO56669] Sandur, SIEV-20-1, EVENTOS AKTUM",,"7,990","7,990",SÍ,NO,NO,DEDICADO,EVENTUAL,20,ON,Sta.Catarina,,EMPRESARIAL,VENTA DIRECTA,EVENTUAL,NO,0.00,NO,2678348,,PAGADA,11/2/2026,
SO56743,XCIEN,FEBRERO,12/2/2026,6/2/2026,SI,CECILIA NUÑEZ,JONATHAN TORRES,,ANA LIDIA GONZALEZ GARCIA,"MIGRACIÓN RB JUAREZ BLANCAS / Sandur, SIMP-20, ANA LIDIA GONZALEZ GARCIA, SITIO : SAN VICENTE.",,,0,0,SÍ,NO,NO,PYME,PYME,20,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2680006,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
SO56895,XCIEN,FEBRERO,12/2/2026,3/3/2026,SI,SERGIO ABREGO,CARLOS ALONSO,,PREMEZCLADOS AZTECA VENADIENSES,"MIGRACION BUENA VISTA Sandur, SIMPS-100, PREMEZCLADOS AZTECA VENADIENSES, SITIO. ESCOBEDO",,,0,0,SÍ,NO,NO,PYME,PYME,100,ON,El Carmen,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2680007,,PAGADA,19/3/2026,Migración de servicio de RB Buena Vista por temas aministrativos//Se solicita factura
SO56897,HUUS,FEBRERO,12/2/2026,24/2/2026,SI,NANCY FUENTES,FRANCISCO VILLATORO,,COMERCIALIZADORA FARMACÉUTICA DE CHIAPAS,"HUUS, SDWAN Plus - 100, COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, SITIO: 3594",,,0,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,ALTA DISPONIBILIDAD,,ON,,,EMPRESARIAL,EAC,CORTESÍA,NO,0.00,S/D,,,PENDIENTE ELABORACIÓN,,Servicio va a estar a prueba 1 mes por temas de fallas; después de ese tiempo se puede llegar a cobrar
SO56855,XCIEN,FEBRERO,12/2/2026,20/2/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,KINGSPAN INSULATED PANELS,"Sandur, S-REUB-EQ, KINGSPAN INSULATED PANELS, SITIO: PABELLON M",,,990,990,SÍ,NO,NO,,,,ON,Pabellon M,,EMPRESARIAL,EAC,REUBICACIÓN,NO,0.00,NO,,,CANCELADA,,
SO56856,LUMINET,FEBRERO,12/2/2026,20/2/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,KINGSPAN INSULATED PANELS,"Luminet, S-REUB-EQ, KINGSPAN INSULATED PANELS, SITIO: PABELLON M",,,990,990,SÍ,NO,NO,,,,ON,Pabellon M,,EMPRESARIAL,EAC,REUBICACIÓN,NO,0.00,NO,2608112,,PAGADA,10/3/2026,
SO56928,XCIEN,FEBRERO,12/2/2026,,,SERGIO ABREGO,DANIEL GONZÁLEZ,,PEDRO ALDAIR MARTINEZ MENDOZA,"MIGRACION BUENA VISTA Sandur, SIMPS-100, PEDRO ALDAIR MARTINEZ MENDOZA, Sitio: Buenavista//",,,0,0,SÍ,NO,NO,PYME,PYME,100,ON,El Carmen,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,,,Migración de servicio de RB Buena Vista por temas aministrativos
SO56122,LUMINET,FEBRERO,12/2/2026,3/3/2026,SI,KEVIN TORRES,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF,"Luminet, CV_PNC360S, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF, Quinta encino Ramos Arizpe",,"422,550",,"422,550",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,ODC,2608121,,PAGADA,13/3/2026,
SO56225,LUMINET,FEBRERO,12/2/2026,,,KEVIN TORRES,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF,"Luminet, EAS07, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF, Quinta encino Ramos Arizpe",,"85,500",,"85,500",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,ODC,,,,,
SO56947,LUMINET,FEBRERO,13/2/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF,"Migración, SVOZ-EXT-N2P, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF, Atencion Ciudadana",,"11,592",,"11,592",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,OFF,N2P,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,,,Se migra el servicio de telefonía de AIISA a N2P
SO56952,XCIEN,FEBRERO,13/2/2026,18/2/2026,SI,CECILIA NUÑEZ,JONATHAN TORRES,,SOLUTYON ENTERPRISE INTEGRATION,"MIGRACIÓN RB JUAREZ BLANCAS / Sandur, SIMP-20, SOLUTYON ENTERPRISE INTEGRATION, SITIO WINGS ARMY JUAREZ",,,0,0,SÍ,NO,NO,PYME,PYME,20,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,PENDIENTE ELABORACIÓN,,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos
SO56876,XCIEN,FEBRERO,13/2/2026,20/2/2026,SI,EDWIN GARZA,JONATHAN TORRES,,ALTTA HOMES NORTE,"Sandur, CDD, ALTTA HOMES NORTE, OBRA LOS HEROES LINCOLN",,,"1,990","1,990",SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,2679945,,PAGADA,20/3/2026,
SO56888,XCIEN,FEBRERO,13/2/2026,,,SERGIO ABREGO,CARLOS ALONSO,,DELTAFLOW DE MEXICO,"MIGRACION BUENA VISTA Sandur, SIDP-50, DELTAFLOW DE MEXICO, Escobedo.",,,0,0,SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Mitras,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,,,Migración de servicio de RB Buena Vista por temas aministrativos
SO56963,HUUS,FEBRERO,13/2/2026,13/2/2026,SI,NANCY FUENTES,FRANCISCO VILLATORO,FRANCISCO VILLATORO,GLADIS IVON MENDEZ LARA,"HUUS, SIMPS-200, GLADIS IVON MENDEZ LARA, SITIO. PASSIFLORA","[SO56963] HUUS, SIMPS-200, GLADIS IVON MENDEZ LARA","3,000",,"3,000",SÍ,NO,NO,PYME,PYME,200,ON,Juárez,36,EMPRESARIAL,EAC,UPGRADE,SÍ,"108,000.00",SÍ,2617177,,PAGADA,17/2/2026,
SO56418,XCIEN,FEBRERO,13/2/2026,19/2/2026,SI,KEVIN TORRES,PEDRO PAEZ,IRIS RAMÍREZ,TRACTORES Y MAQUINARIA REAL,"Sandur, SIDP-50 + AD, TRACTORES Y MAQUINARIA REAL, SITIO: RAMOS ARIZPE","[SO56418] Sandur, SIDP-50 + AD, TRACTORES Y MAQUINARIA REAL","3,401",,"3,401",SÍ,NO,NO,DEDICADO,DEDICADO/AD,50,ON,Acherbis,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"122,436.00",SÍ,2678410,,PAGADA,27/2/2026,
SO56415,XCIEN,FEBRERO,13/2/2026,24/2/2026,SI,EDWIN GARZA,PEDRO PAEZ,IRIS RAMÍREZ,TRACTORES Y MAQUINARIA REAL,"Sandur, SIDP-300, TRACTORES Y MAQUINARIA REAL, SITIO: SAN NICOLAS","[SO56415] Sandur, SIDP-300, TRACTORES Y MAQUINARIA REAL","4,000",,"4,000",SÍ,NO,NO,DEDICADO,DEDICADO,300,ON,Guadalupe,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"144,000.00",SÍ,2679938,,PAGADA,5/3/2026,
SO56422,XCIEN,FEBRERO,16/2/2026,20/2/2026,SI,SERGIO ABREGO,GERARDO DE LA GARZA,IRIS RAMÍREZ,SUMINISTRO INDUSTRIAL DE EQUIPOS Y PROYECTOS,"Sandur, SA-WIFI-eero3P, SUMINISTRO INDUSTRIAL DE EQUIPOS Y PROYECTOS, SITIO: SIEPSA GARCÍA","
[SO56422] Sandur, SA-WIFI-eero3P, SUMINISTRO INDUSTRIAL DE EQUIPOS Y PROYECTOS",461,,461,SÍ,SÍ,NO,SERVICIOS ADMINISTRADOS,WIFI ADMINISTRADO,,ON,,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"16,603.56",SÍ,2678415,,PAGADA,11/3/2026,
SO56996,XCIEN,FEBRERO,16/2/2026,19/2/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,,DERMACELL,"Sandur, CDD, DERMACELL, SITIO: DERMACELL NUBES",,,"1,990","1,990",SÍ,NO,NO,,,,ON,Saltillo Oriente,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,2678405,,PAGADA,27/2/2026,
SO56997,XCIEN,FEBRERO,16/2/2026,19/2/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,LEONARDO RODRÍGUEZ,DERMACELL,"Sandur, SIDP-50, DERMACELL, SITIO: DERMACELL NUBES// FASE 1 BLINDAJE","[SO56997] Sandur, SIDP-50, DERMACELL",300,,300,SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Saltillo Oriente,24,EMPRESARIAL,EAC,UPGRADE,SÍ,"7,200.00",SÍ,2678406,,PAGADA,27/2/2026,Lleva renovación
SO56989,LUMINET,FEBRERO,16/2/2026,18/2/2026,SI,CECILIA NUÑEZ,CARLOS ALONSO,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA Y PROTECCION DE DERECHOS DEL ESTADO DE COAHUILA DE ZARAGOZA,"Luminet, S-REUB-EQ, SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA Y PROTECCION DE DERECHOS DEL ESTADO DE COAHUILA DE ZARAGOZA, SITIO DIF PRESIDENCIA 2",,,0,0,SÍ,NO,NO,,,,ON,,,GOBIERNO,EAC,REUBICACIÓN,NO,0.00,NO,2607852,,PAGADA,23/2/2026,
SO56971,XCIEN,FEBRERO,16/2/2026,18/2/2026,SI,SERGIO ABREGO,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,TRANSPORTES URGENTES NUEVO LEON,"Sandur, SIS-100-10-ilimitado, TRANSPORTES URGENTES NUEVO LEON, SITIO: TLAJOMULCO DE ZUÑIGA","[SO56971] Sandur, SIS-100-10-ilimitado, TRANSPORTES URGENTES NUEVO LEON","4,200",,"4,200",SÍ,NO,SÍ,SATELITAL,SATELITAL,100,OFF,Starlink,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"151,200.00",SÍ,2678401,,PAGADA,12/3/2026,
SO55934,XCIEN,FEBRERO,16/2/2026,,CANCELADA,EDWIN GARZA,PEDRO MARTÍNEZ,DANIEL GONZÁLEZ,ACEROS LEVINSON,"Sandur, SIDP-50, ACEROS LEVINSON, Aceros Levinson Torreon","[SO55934] Sandur, SIDP-50, ACEROS LEVINSON","2,500",,"2,500",SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Torreón,,EMPRESARIAL,VENTA DIRECTA,UPGRADE,CANCELADA,0.00,NO,,,,,Firma del anexo depende de si queda el servicio con mastil a nuestra RB
SO56494,XCIEN,FEBRERO,17/2/2026,23/2/2026,SI,NANCY FUENTES,JONATHAN TORRES,,TRANSPORTES CANALES,"Sandur, CDD, TRANSPORTES CANALES, Cirning Villa Florida Reynosa",,,0,0,SÍ,NO,NO,,,,ON,Villa Florida,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,2679960,,PAGADA,9/3/2026,
SO56495,XCIEN,FEBRERO,17/2/2026,23/2/2026,SI,NANCY FUENTES,JONATHAN TORRES,,TRANSPORTES CANALES,"Sandur, SID-20, TRANSPORTES CANALES, Cirning Villa Florida Reynosa",,"-9,868",,"-9,868",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Villa Florida,,EMPRESARIAL,EAC,DECREMENTO,NO,0.00,SÍ,2679961,,PENDIENTE PAGO,,
SO56945,LUMINET,FEBRERO,17/2/2026,,SI,CECILIA NUÑEZ,OSCAR RIVERA,,SERVICIOS DE SALUD DE COAHUILA DE ZARAGOZA,"Luminet, SIMPS-200, SERVICIOS DE SALUD DE COAHUILA DE ZARAGOZA., Oficina Central SS Coahuila",,"98,722",,"98,722",SÍ,NO,NO,PYME,PYME,200,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,NO,,,,,Solo se confirma la venta para poder facturar el servicio
SO56500,XCIEN,FEBRERO,17/2/2026,25/2/2026,SI,KEVIN TORRES,IRIS RAMÍREZ,,CAL QUIMICA MEXICANA,"Sandur, SST-S, CAL QUIMICA MEXICANA, SITIO: PLANTA SAN LUIS",,,,0,SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,VISITA TÉCNICA,NO,0.00,NO,,,PENDIENTE ELABORACIÓN,,Visita para arreglar una mala instalación
SO56073,HUUS,FEBRERO,17/2/2026,24/3/2026,SI,NANCY FUENTES,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,DEREMATE.COM DE MEXICO,"HUUS, SIDP-100, DEREMATE.COM DE MEXICO, SITIO: GOMEZ PALACIOS","[SO56073] HUUS, SIDP-100, DEREMATE.COM DE MEXICO","17,500",,"17,500",SÍ,SÍ,SÍ,DEDICADO,DEDICADO,100,OFF,Alestra,36,EMPRESARIAL,DISTRIBUIDOR,UPSALE,SÍ,"630,000.00",SÍ,2618342,,PENDIENTE PAGO,,
SO56778,HUUS,FEBRERO,17/2/2026,20/2/2026,SI,NANCY FUENTES,RAFAEL PÉREZ,FRANCISCO VILLATORO,GRUPO IYOLIC,"HUUS INCREMENTO, SIDP-50, GRUPO IYOLIC, SITIO: TEPOTZOTLAN BODEGA 1","[SO56778] HUUS, SIDP-50, GRUPO IYOLIC","2,800",,"2,800",SÍ,SÍ,NO,DEDICADO,DEDICADO,50,ON,,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"100,800.00",SÍ,2617771,,PAGADA,20/3/2026,
SO55716,XCIEN,FEBRERO,18/2/2026,,,EDWIN GARZA,IRIS RAMÍREZ,,VERGARA Y FLORES SERVICIOS LEGALES,"Sandur, SVOZ-SIPT-N2P, VERGARA Y FLORES SERVICIOS LEGALES, Sitio:Obispado",,,0,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,N/A,,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,,,
SO57069,XCIEN,FEBRERO,19/2/2026,23/2/2026,SI,EDWIN GARZA,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, CDD, FOMENTO EMPRESARIAL INMOBILIARIO, SITIO CV ALYSSA 2",,,0,0,SÍ,NO,NO,,,,N/A,Rep. Manantiales,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,S/D,2678412,,PAGADA,23/2/2026,
SO56946,LUMINET,FEBRERO,19/2/2026,25/2/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF,"Luminet, SIDP-100, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF, Sitio Fiscalía Delegación Monclova",,,0,0,SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Monclova,12,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,NO,2608106,,PAGADA,1/3/2026,Se reactiva servicio anteriormente se  solicitó una  suspensión temporal pero el cliente ya requiere que se active nuevamente
SO55574,XCIEN,FEBRERO,19/2/2026,23/2/2026,SI,KEVIN TORRES,DANIEL GONZÁLEZ,,GRUPO LARO TARIMAS Y RECICLADOS,"Sandur, SIDP-50, GRUPO LARO TARIMAS Y RECICLADOS, SITIO: TORREMOLINOS 2",,"4,200",,"4,200",SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Acherbis,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"151,200.00",SÍ,2679936,,PAGADA,3/3/2026,
SO57013,XCIEN,FEBRERO,19/2/2026,1/4/2026,SI,CECILIA NUÑEZ,IRIS RAMÍREZ,, TORRECID MEXICO,"Sandur, SIDP-70, TORRECID MEXICO, SITIO CIENEGA",,"9,400",,"9,400",SÍ,NO,NO,DEDICADO,DEDICADO,70,ON,Rojas,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"338,400.00",SÍ,,,,,
SO56960,XCIEN,FEBRERO,19/2/2026,25/2/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,GOSACO,"Sandur, SIDP-30, GOSACO, SITIO GASOLINERA GOSACO // BLINDAJE FASE 2",,"3,600",,"3,600",SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Norte,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"129,600.00",SÍ,2679971,,PAGADA,11/3/2026,
SO57102,HUUS,FEBRERO,20/2/2026,25/2/2026,SI,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,GRUPO COMERCIAL DE MEXICO,"HUUS, SIS-50-10-ilimitado, GRUPO COMERCIAL DE MEXICO, SITIO: HIDALGO","[SO57102] HUUS, SIS-50-10-ilimitado, GRUPO COMERCIAL DE MEXICO","5,500",,"5,500",SÍ,SÍ,SÍ,SATELITAL,SATELITAL,50,OFF,Starlink,12,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"66,000.00",SÍ,2617741,,PENDIENTE PAGO,,
SO57153,LUMINET,FEBRERO,20/2/2026,23/2/2026,SI,FRANCISCO ALDAY,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA TM,"Luminet, SSTC-M, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA TM, Oficinas Servicios de Salud",,"1,600",,"1,600",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,LICENCIA,,N/A,,12,GOBIERNO,OTRO,RENOVACIÓN,NO,"19,200.00",NO,2608145,,PAGADA,4/3/2026,2 licencias de zoom
SO56201,XCIEN,FEBRERO,23/2/2026,25/2/2026,SI,SERGIO ABREGO,EDUARDO TUEME,DANIEL GONZÁLEZ,LA-Z-BOY MUEBLES,"Sandur, SIDP-200, LA-Z-BOY MUEBLES, SITIO LA-Z-BOY","[SO56201] Sandur, SIDP-200, LA-Z-BOY MUEBLES","6,000",,"6,000",SÍ,NO,NO,DEDICADO,DEDICADO,200,ON,Acherbis,24,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"144,000.00",SÍ,2679933,,PAGADA,13/3/2026,
SO57162,LUMINET,FEBRERO,23/2/2026,26/2/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA  ( ORQUESTA FILARMONICA DEL DESIERTO ),"Luminet, SIEV-20, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA  ( ORQUESTA FILARMONICA DEL DESIERTO ), Teatro de la ciudad 2 2026",,,0,0,SÍ,NO,NO,DEDICADO,EVENTUAL,20,ON,Jolla,,GOBIERNO,OTRO,EVENTUAL,NO,0.00,NO,2607858,,PAGADA,26/2/2026,
SO57042,XCIEN,FEBRERO,23/2/2026,24/2/2026,SI,EDWIN GARZA,TIRSO ROMERO,CARLOS ALONSO,TRANSPORTES LAR MEX,"Sandur, SIDP-100 + AD, TRANSPORTES LAR MEX, SITIO: LARMEX SLP PATIO 2","[SO57042] Sandur, SIDP-100 + AD, TRANSPORTES LAR MEX","3,000",,"3,000",SÍ,NO,NO,DEDICADO,DEDICADO/AD,100,ON,San Antonio TRM2,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"108,000.00",SÍ,2679944,,PENDIENTE PAGO,,
SO57033,XCIEN,FEBRERO,23/2/2026,24/2/2026,SI,EDWIN GARZA,TIRSO ROMERO,CARLOS ALONSO,TRANSPORTES LAR MEX,"Sandur, SIPHA-IPv4, TRANSPORTES LAR MEX, SITIO: LARMEX SLP PATIO 2","[SO57033] Sandur, SIPHA-IPv4, TRANSPORTES LAR MEX","1,200",,"1,200",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,IP ADICIONAL,,ON,,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"43,200.00",SÍ,2679932,,PENDIENTE PAGO,,
SO57150,LUMINET,FEBRERO,23/2/2026,,CANCELADA,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,GABRIEL CERDA VAZQUEZ,"Luminet, SIDP-30, GABRIEL CERDA VAZQUEZ, SITIO: LAS VEGAS SLP",,"-10,200",,"-10,200",SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Carretera 57,12,EMPRESARIAL,EAC,DECREMENTO,CANCELADA,"-122,400.00",SÍ,,,,,
SO57149,LUMINET,FEBRERO,23/2/2026,,CANCELADA,EDWIN GARZA,LEONARDO RODRÍGUEZ,,GABRIEL CERDA VAZQUEZ,"Luminet, CDD, GABRIEL CERDA VAZQUEZ, SITIO: LAS VEGAS SLP",,,"1,990","1,990",SÍ,NO,NO,,,,N/A,Edificio Eme,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,CANCELADA,0.00,NO,,,,,
SO56630,XCIEN,FEBRERO,23/2/2026,4/3/2026,SI,CECILIA NUÑEZ,PEDRO PAEZ,CARLOS ALONSO,GRAFIADY,"Sandur, SIDP-50, GRAFIADY, SITIO: BODEGA 1","[SO56630] Sandur, SIDP-50, GRAFIADY",800,,800,SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Sta. Rosa,12,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"9,600.00",SÍ,2679972,,PAGADA,17/3/2026,
SO56631,XCIEN,FEBRERO,23/2/2026,4/3/2026,SI,CECILIA NUÑEZ,PEDRO PAEZ,CARLOS ALONSO,GRAFIADY,"Sandur, SIDP-30, GRAFIADY, SITIO: BODEGA 10","[SO56631] Sandur, SIDP-30, GRAFIADY",600,,600,SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Sta. Rosa,12,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"7,200.00",SÍ,2679973,,PAGADA,17/3/2026,
SO56632,XCIEN,FEBRERO,23/2/2026,27/2/2026,SI,CECILIA NUÑEZ,PEDRO PAEZ,CARLOS ALONSO,GRAFIADY,"Sandur, SIMP-15, GRAFIADY, SITIO: BODEGA 14","[SO56632] Sandur, SIMP-15, GRAFIADY",400,,400,SÍ,NO,NO,PYME,PYME,15,ON,Sta. Rosa,12,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"4,800.00",SÍ,2679939,,PENDIENTE PAGO,,
SO56610,XCIEN,FEBRERO,23/2/2026,26/2/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,CONSOLIDAMEX,"Sandur, SIDP-70, CONSOLIDAMEX, SITIO SAN LUIS POTOSI // FASE 1 BLINDAJE",,"9,999",,"9,999",SÍ,NO,NO,DEDICADO,DEDICADO,70,ON,San Antonio TRM2,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"359,964.00",SÍ,2679935,,PAGADA,3/3/2026,
SO56609,XCIEN,FEBRERO,23/2/2026,,,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,CONSOLIDAMEX,"Sandur, SIDP-60, CONSOLIDAMEX, SITIO RAMOS ARIZPE. // FASE 1 BLINDAJE",,"4,799",,"4,799",SÍ,NO,NO,DEDICADO,DEDICADO,60,ON,Ramazini,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"172,764.00",SÍ,,,,,
SO56608,XCIEN,FEBRERO,23/2/2026,24/2/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,CONSOLIDAMEX,"Sandur, SIDP-60, CONSOLIDAMEX, SITIO PEDRERAS 2// FASE 1 BLINDAJE",,"4,799",,"4,799",SÍ,NO,NO,DEDICADO,DEDICADO,60,ON,Sta. Catarina,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"172,764.00",SÍ,2678419,,PAGADA,25/2/2026,
SO56961,XCIEN,FEBRERO,23/2/2026,24/2/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,DEPORTIVO CAMPESTRE MONTE SUR,"Sandur, SIDP-40, DEPORTIVO CAMPESTRE MONTE SUR, SITIO MONTESUR MONTEMORELOS // FASE 2 BLINDAJE",,"3,999",,"3,999",SÍ,NO,NO,DEDICADO,DEDICADO,40,ON,Campestre Montesur,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"143,964.00",SÍ,2679934,,PAGADA,3/3/2026,
SO57006,XCIEN,FEBRERO,24/2/2026,27/2/2026,SI,SERGIO ABREGO,IRIS RAMÍREZ,,YG-1 TOOLS MEXICO,"Sandur, SIDP-50, YG-1 TOOLS MEXICO, SITIO: NAVAJAS-QRO",,"6,700",,"6,700",SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Colorado,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"241,200.00",SÍ,2679941,,PAGADA,3/3/2026,
